cep,latitude,longitude
82821020,-25.4233146347775,-49.2160678044742
81350686,-25.4936598469491,-49.3400481020638
82530380,-25.4300625729625,-49.2336060009616
82930390,-25.4608672106041,-49.2047594214569
81320083,-25.4770955000105,-49.3183277499707
81020150,-25.4852090685074,-49.2875810685635
81250720,-25.4815524899573,-49.3385838295334
81900560,-25.5386532636233,-49.2709988129397
80530040,-25.4219925091123,-49.2723748799989
81530380,-25.4625848305665,-49.2300931009572
81490010,-25.6154928550559,-49.3537353191769
81900670,-25.5457748986399,-49.2827186530876
82930370,-25.4627990031427,-49.2053096781914
81830020,-25.5125646322447,-49.2675350633395
81050610,-25.4838938211145,-49.3106146746474
81350320,-25.4992029361912,-49.3318588311607
81030100,-25.4832995440473,-49.2706444334036
82025101,-25.4089804447922,-49.3131316666906
82310354,-25.428940781271,-49.3504773749079
81170370,-25.514465668778,-49.3258065209142
81510160,-25.4561970876697,-49.2447744337813
81260160,-25.488209,-49.348703
82840120,-25.4055829533743,-49.2167226661471
81910230,-25.5278877309024,-49.2672872891657
82640400,-25.3780721034646,-49.2387994310608
81470255,-25.569630444458,-49.3374921110026
82130580,-25.3655056873644,-49.280654645349
81130330,-25.5102533750322,-49.3062616741933
80045160,-25.4227240373025,-49.257747950136
82100270,-25.4014680627492,-49.2883068119821
80060170,-25.4278721677395,-49.2593020468696
81110070,-25.5038132404982,-49.2938690633352
81320290,-25.4748252660661,-49.3107362306741
82415070,-25.3666350000001,-49.3367376666649
82515190,-25.399238,-49.229496
82650470,-25.3694403145923,-49.2428589272921
81452040,-25.4998370213564,-49.3545044201704
81570240,-25.4811182084669,-49.2271006252739
82015100,-25.4177303741766,-49.3254408265132
81650170,-25.4968831947737,-49.2251870078443
80620340,-25.4540745011999,-49.2732563508827
82860360,-25.3827108510463,-49.1953359321141
81030380,-25.4878438322257,-49.2772121864255
81110190,-25.4985135816744,-49.2879505576038
82315100,-25.4138947234128,-49.3562615743809
81920735,-25.5391678846873,-49.2615212690534
81030180,-25.4763519008138,-49.2647633349843
81825210,-25.5262738689431,-49.2736153558222
80035230,-25.4008064386385,-49.2512257402299
81110330,-25.5042910428287,-49.2847716627966
