CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:08,30,82930390,-25.4608672106041,-49.2047594214569,False,06:28
82930390,-25.4608672106041,-49.2047594214569,1,06:28,33,82100270,-25.4014680627492,-49.2883068119821,True,06:47
82100270,-25.4014680627492,-49.2883068119821,1,06:47,33,81330620,-25.4883481133979,-49.3345923101625,True,07:05
81330620,-25.4883481133979,-49.3345923101625,1,07:05,34,81470346,-25.5796239000291,-49.33524810001,True,07:05
81470346,-25.5796239000291,-49.33524810001,1,07:05,0,81590045,-25.4936220026944,-49.1988741650016,False,07:12
81590045,-25.4936220026944,-49.1988741650016,1,07:12,43,81610220,-25.4840165002992,-49.2455067502822,True,07:18
81610220,-25.4840165002992,-49.2455067502822,1,07:18,44,80210200,-25.4425802500035,-49.2447534999719,True,07:40
80210200,-25.4425802500035,-49.2447534999719,1,07:40,32,81170755,-25.5160188418949,-49.3308090343913,True,08:00
81170755,-25.5160188418949,-49.3308090343913,1,08:00,33,81510160,-25.4561970876697,-49.2447744337813,True,08:07
81510160,-25.4561970876697,-49.2447744337813,1,08:07,40,82821020,-25.4233146347775,-49.2160678044742,True,08:13
82821020,-25.4233146347775,-49.2160678044742,1,08:13,44,82930370,-25.4627990031427,-49.2053096781914,True,08:24
82930370,-25.4627990031427,-49.2053096781914,1,08:24,39,81670260,-25.5039440665513,-49.2550349720709,True,08:49
81670260,-25.5039440665513,-49.2550349720709,1,08:49,31,82200216,-25.3890870000006,-49.270339250004,True,08:57
82200216,-25.3890870000006,-49.270339250004,1,08:57,41,80230090,-25.4390390483783,-49.2723309760101,True,09:02
80230090,-25.4390390483783,-49.2723309760101,1,09:02,47,80710350,-25.4333576000608,-49.3086768002282,True,09:30
80710350,-25.4333576000608,-49.3086768002282,1,09:30,30,81935303,-25.5548054287395,-49.2658406002244,True,09:32
81935303,-25.5548054287395,-49.2658406002244,1,09:32,49,81935113,-25.5499175384761,-49.253610923113,True,09:36
81935113,-25.5499175384761,-49.253610923113,1,09:36,48,81830300,-25.5229877082695,-49.2642839884632,False,10:02
81830300,-25.5229877082695,-49.2642839884632,1,10:02,31,82310354,-25.428940781271,-49.3504773749079,True,10:02
82310354,-25.428940781271,-49.3504773749079,1,10:02,0,82990000,-25.4637044472508,-49.198121637253,False,10:24
82990000,-25.4637044472508,-49.198121637253,1,10:24,32,81870352,-25.5241770000303,-49.2937684998992,True,10:48
